DateRec,PlantCode,RoomCode,GroupCode,MachCode,OrderCode,StyleCode,StSize,StColor,StLot,TimeOn,TimeOff,Pieces,OrderPieces,TargetPieces,Discards,Cycle,Condition,Shift,RespoCode,Reason,OrderDiscards,DateStartShift,BalancingCode,LinkProgram,NameProg1,TargetProg1,PiecesProg1,CycleTimeProg1,NameProg2,TargetProg2,PiecesProg2,CycleTimeProg2,NameProg3,TargetProg3,PiecesProg3,CycleTimeProg3,NameProg4,TargetProg4,PiecesProg4,CycleTimeProg4,NameProg5,TargetProg5,PiecesProg5,CycleTimeProg5,MachineId,ShiftDisabled,ManualStopInProd,ModelCode
2020-07-29 16:09:11.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",3,"                        ","CQ0301        04        ","                ","                ","                ",10895,81,33,8022,0,1,328,5,1,"1                             ",4,559,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:12:02.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",764,834,4,8356,0,1,201,4,1,"1                             ",4,247,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:18:08.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",16,"                        ","CQ0301        02        ","                ","                ","                ",26673,2239,102,12291,0,2,261,5,1,"1                             ",4,426,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:20:29.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",2934,105,10,12349,0,1,297,5,1,"1                             ",4,656,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:25:51.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",1,"                        ","CQ0301        03        ","                ","                ","                ",17167,584,57,11865,0,1,297,5,1,"1                             ",4,1097,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:31:43.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",2033,925,10,9921,0,1,202,8,1,"1                             ",4,304,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:32:55.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",31,"                        ","CQ0301        04        ","                ","                ","                ",2024,314,5,3543,0,2,344,8,1,"1                             ",4,237,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:40:48.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",423,122,2,9923,0,1,202,8,1,"1                             ",4,305,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:48:32.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",1209,474,4,12353,0,1,297,5,1,"1                             ",4,657,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:58:15.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",9,"                        ","CQ0301        03        ","                ","                ","                ",13353,291,44,5724,0,1,298,7,1,"1                             ",4,559,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:02:37.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",1,"                        ","CQ0301        03        ","                ","                ","                ",1794,412,6,11871,0,1,297,5,1,"1                             ",4,1098,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:16:56.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",2523,1371,12,8368,0,2,202,4,1,"1                             ",4,249,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:25:35.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",2113,110,6,12359,0,1,297,5,1,"1                             ",4,658,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:27:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",9,"                        ","CQ0301        03        ","                ","                ","                ",1496,229,5,5729,0,1,298,7,1,"1                             ",4,560,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:29:59.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",10,"                        ","s5277-4a      01        ","                ","                ","                ",26296,11503,137,6293,0,1,191,4,1,"1                             ",4,202,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:35:49.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",3,"                        ","CQ0301        04        ","                ","                ","                ",4639,559,14,8036,0,2,328,5,1,"1                             ",4,561,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:40:13.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",1228,169,5,8373,0,1,202,4,1,"1                             ",4,250,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:49:41.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",1353,93,4,12363,0,1,298,5,1,"1                             ",4,659,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:52:54.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",16,"                        ","CQ0301        02        ","                ","                ","                ",4691,995,17,12308,0,2,261,5,1,"1                             ",4,428,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:53:31.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",9,"                        ","CQ0301        03        ","                ","                ","                ",1297,294,5,5734,0,1,298,7,1,"1                             ",4,561,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 17:54:21.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",1,"                        ","CQ0301        03        ","                ","                ","                ",2530,574,9,11880,0,2,297,5,1,"1                             ",4,1100,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-26 07:00:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",8,"                        ","CQ0301        03        ","                ","                ","                ",4150,326,13,5208,0,1,297,5,2,"2                             ",0,282,2020-07-25 19:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-26 07:00:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",3,"                        ","CQ0301        04        ","                ","                ","                ",6895,874,21,7267,0,0,328,5,2,"2                             ",0,522,2020-07-25 19:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-26 07:00:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",1,"                        ","CQ0301        03        ","                ","                ","                ",1491,2058,6,11061,0,0,297,5,2,"2                             ",0,1056,2020-07-25 19:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-26 07:00:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",31,"                        ","CQ0301        04        ","                ","                ","                ",9413,2034,27,3030,0,0,344,8,2,"2                             ",0,207,2020-07-25 19:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
